"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 08 14:04:06 MSK 2023","Wed Nov 08 14:04:38 MSK 2023","32172","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"passed","Wed Nov 08 14:05:00 MSK 2023","Wed Nov 08 14:05:21 MSK 2023","21219","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"passed","Wed Nov 08 14:05:21 MSK 2023","Wed Nov 08 14:05:33 MSK 2023","12005","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"passed","Wed Nov 08 14:03:40 MSK 2023","Wed Nov 08 14:04:06 MSK 2023","25691","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"passed","Wed Nov 08 14:04:38 MSK 2023","Wed Nov 08 14:05:00 MSK 2023","22115","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
"failed","Wed Nov 08 14:05:33 MSK 2023","Wed Nov 08 14:06:53 MSK 2023","79590","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")","","Фильтр ""Производитель"" - полная версия (яндекс ее ""не любит"")",""
