"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 07 16:30:45 MSK 2023","Tue Nov 07 16:30:55 MSK 2023","9949","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"passed","Tue Nov 07 16:30:55 MSK 2023","Tue Nov 07 16:31:02 MSK 2023","7301","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
"failed","Tue Nov 07 16:31:02 MSK 2023","Tue Nov 07 16:32:17 MSK 2023","74693","","Поиск товаров по фильтрам","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)","","Фильтр ""Производитель"" - короткая версия (меньше триггерит капчу)",""
